"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CHMP2B",93.5802538769979,0.767645629955789,0.196914814888522,3.89836402299326,9.68447573018092e-05,0.00535629534460717
"SUZ12",196.492293678577,-0.53743363008919,0.138064335726207,-3.89263184632248,9.91625761333499e-05,0.00545861916734053
"GPRC5A",99.1609177506423,-0.688835258875223,0.177232857641868,-3.88661147848297,0.000101653254939215,0.00556945298188094
"DDX60L",16.0487603078177,2.07578773898016,0.535622524634195,3.87546759800258,0.000106420140896767,0.00580337871151996
"LGALS17A",4.87547346579534,5.11432232376269,1.32370410891023,3.86364466902893,0.000111707684301897,0.00603531794353307
"RP11-395B7.7",49.688202305999,1.35898866151383,0.351665829138268,3.86443193768339,0.000111348031964053,0.00603531794353307
"GFOD1",46.8549446041154,1.22052019536376,0.316170862277785,3.8603183942087,0.000113239375787802,0.00608987795135322
"AHSA2",33.2275629504136,1.31986447143537,0.342712533749633,3.85122906651435,0.00011752650391683,0.00629144174637341
"SMURF2",35.8108297209382,-1.05752039119036,0.275089459019789,-3.84427813031647,0.000120907817256964,0.00644289601547383
"IL15RA",10.5145419393333,2.94266377861032,0.766657916650315,3.83830090931223,0.000123888604855844,0.00657172735758045
"BATF2",9.84712099206524,4.19821412336404,1.09439198890193,3.83611554720569,0.000124995617086859,0.00659438497034664
"HRH1",88.6745840628145,0.835513731835136,0.217852207206205,3.83523188747999,0.000125445883754666,0.00659438497034664
"ERI1",49.1303885320223,1.01031471050064,0.263803924410016,3.82979408953127,0.000128250529052796,0.00671158598226963
"C4orf32",42.8394357014156,1.1178604328182,0.292393900882353,3.82313184182314,0.000131767276925597,0.00686483982911479
"POLR3A",103.047325746305,0.778822227823586,0.204516145307626,3.80812100018856,0.00014002675537999,0.00726272104570882
"SH2B3",61.3442373887835,-0.817619327845393,0.214992937883901,-3.80300551214811,0.000142951173672914,0.0073815937909863
"STAT2",36.3327687739141,1.20628259913213,0.3176408666019,3.79763036172536,0.000146085951983239,0.00751023374292687
"FAM115C",12.3827383657024,2.43858326069301,0.644028927011832,3.7864498913233,0.000152814894444894,0.00782170972882417
"PCSK7",49.7776650954709,1.00032187485963,0.26451429503113,3.78173086918384,0.000155741689207006,0.00793670529714305
"TXNIP",54.5354885006732,1.02740325324114,0.272301957752179,3.7730292566467,0.000161277367334473,0.00818307337736217
"MT-ND5",1436.49248685762,0.787923262871449,0.210153288493426,3.74927876941643,0.000177343864348488,0.00895931990020283
