"","baseMean","log2FoldChange","pvalue","padj"
SMARCA1,2058.5156147251,-0.643383877302875,2.88777194474624e-08,1.29949737513581e-06
AAMP,1867.75915173768,0.568810673811146,2.98741164421717e-08,1.33995629774822e-06
NHLRC3,767.954736576169,-0.720705919327413,3.0582586567718e-08,1.36727992544635e-06
MTA2,1959.54663354165,0.551959333847145,3.22008623254848e-08,1.43497046673763e-06
WDR19,1049.75397398204,-0.669710282553887,3.28554930851407e-08,1.45941980574964e-06
SLC27A4,356.631058058262,0.927261945905982,3.30926417421375e-08,1.46522725655702e-06
SHANK2,328.10230647181,-0.93963398183514,3.34625460353603e-08,1.47685659906061e-06
TNFRSF1A,1315.06744077293,0.664793445681005,3.48563928628489e-08,1.53345856141032e-06
IFT80,657.385910142729,-0.753064602356265,3.51826341036868e-08,1.54288175671263e-06
FLT1,189.612762996022,-1.19979396159203,3.61342619030408e-08,1.57594825815224e-06
